airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
ZGSZ,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZGSZ,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZGSZ,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZGSZ,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZGSZ,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZGSZ,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZGSZ,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZGSZ,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZGSZ,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZHHH,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZHHH,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZHHH,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZHHH,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZHHH,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZHHH,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZHHH,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZHHH,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZHHH,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZHHH,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZHHH,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZHHH,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZSPD,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZSPD,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZSPD,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZSPD,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZSPD,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZSPD,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZSPD,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
ZSPD,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
ZSPD,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
